binding-phone-2.0.html, 绑定手机号
bless-join-2.0.html,  参与福袋
bless-share-2.0.html, 福袋分享
buy-2.0.html,  买入卖出
BuyRecord.html
BuyRecord2.0.html, 夺宝记录
Close-position-2.0.html, 平仓
Coshow-record.html
Currency-description.html, 活动规则
day-rank-2.0.html, 排名详情
Diamond-competition-2.0.html
Formula2.0.html, 已揭晓计算详情
Get-prize.html, 排名领奖
Get-verification-code-2.0.html, 获取验证码
gift-Get-Success.html, 打开钻币礼包 结果页面
gift-list.html,钻币礼包列表
gift-page.html, 钻币礼包分享
gift-receive.html, 打开钻币礼包
going-Short-2.0.html,   做空
Indiana-2.0.html
Indiana.html
L-finish-password-2.0.html, 修改密码填写密码
L-Forget-password-next-2.0.html, 忘记密码
list-2.0.html, 挂单列表
login-2.0.html,登陆
luckReceive-prizes.html
lucky-bag-2.0.html, 我的福袋列表
LuckyDraw-announced.html
market-2.0.html, diamond 详情
Modify-password-2.0.html, 修改密码
prize-Add-free-2.0.html, 夺宝记录商品分享
prize-Add-rob-2.0.html, 夺宝记录福袋分享
Product-announced.html
Product-details2.0.html, 夺宝 福袋详情
Ranking-list (rate).html
Ranking-list-2.0.html, 收益排名列表
Product-details2.0.html
Ranking-list (rate).html, 收益率排名
Ranking-list-2.0.html, 收益排名
Receive-prizes.html
register-2.0.html,注册
rule.html
sell.html, 卖出
share-awards.html
share.html
Transaction-record.html,交易记录
VirtualDisk-Invitation.html
VirtualDisk-Invitation2.0.html, 邀请记录
VirtualDisk-my.html
VirtualDisk-my2.0.html, 用户中心
